source,text,created_at,retweet_count,favorite_count,is_retweet,id_str
Twitter for Android,@Pretty_Nikki21: @realDonaldTrump is trying to set @KenyaMoore up putting her in loser seats #CelebApprentice,1/27/2015 2:17,7,18,FALSE,5.59898E+17
Twitter Web Client,Why do people give @KarlRove contributions when they know he is a loser who has no idea how to win? http://t.co/mbnmf8D8jI,1/26/2015 21:52,74,108,FALSE,5.59831E+17
Twitter for Android,Word is that @NBCNews is firing sleepy eyes Chuck Todd in that his ratings on Meet the Press are setting record lows. He's a real loser!,1/25/2015 15:48,184,207,FALSE,5.59377E+17
Twitter for Android,Despite what the haters and losers like to say I never filed for bankruptcy but WOW the preeminent gaming company Caesars just did.,1/15/2015 15:51,121,123,FALSE,5.55754E+17
Twitter for Android,To EVERYONE including all haters and losers HAPPY NEW YEAR. Work hard be smart and always remember  WINNING TAKES CARE OF EVERYTHING!,12/31/2014 21:15,1271,1209,FALSE,5.504E+17
Twitter Web Client,What separates the winners from the losers is how a person reacts to each new twist of fate.,12/30/2014 21:50,580,512,FALSE,5.50046E+17
Twitter for Android,@rinibobusepi: RT @realDonaldTrump “You're never a loser until you quit trying” - Mike Ditka,12/30/2014 11:16,61,64,FALSE,5.49887E+17
Twitter for Android,So many people think I will not run for President.Wow I wonder what the response will be if I do. Even the haters and losers will be happy!,12/24/2014 23:52,847,1081,FALSE,5.47903E+17
Twitter for Android,@kyleraccio: @realDonaldTrump loser newspaper &amp; loser comedian!,12/24/2014 3:47,7,15,FALSE,5.47599E+17
Twitter for Android,Sorry @Rosie is a mentally sick woman a bully a dummy and above all a loser. Other than that she is just wonderful!,12/9/2014 1:53,712,890,FALSE,5.42135E+17
Twitter for Android,@LeRoyal_Pegasus: “Show me someone without an ego and I'll show you a loser.” ― @realDonaldTrump,10/28/2014 12:00,79,107,FALSE,5.27067E+17
Twitter for Android,.@katyperry  Katy what the hell were you thinking when you married loser Russell Brand. There is a guy who has got nothing going a waste!,10/16/2014 23:52,6967,6872,FALSE,5.22898E+17
Twitter Web Client,I watched Russell Brand @rustyrockets on the @jimmyfallon show the other night—what the hell do people see in Russell—a major loser!,10/16/2014 20:50,360,449,FALSE,5.22852E+17
Twitter Web Client,Lightweight @AGSchneiderman is driving business &amp; jobs out of NY. Only wants self publicity—a total loser!,10/15/2014 16:18,34,34,FALSE,5.22421E+17
Twitter for Android,@DRJAMESCABOT: Donald you're so handsome... i can speak... Paltrow loser... Trump 2016 rock n roll back in the OVAL not Paltrow,10/13/2014 11:29,100,100,FALSE,5.21624E+17
Twitter Web Client,Lightweight @AGSchneiderman will probably win only because he is a Dem in NY but what a loser!,10/10/2014 14:32,16,43,FALSE,5.20583E+17
Twitter for Android,Every time I speak of the haters and losers I do so with great love and affection. They cannot help the fact that they were born fucked up!,9/29/2014 0:21,34453,34807,FALSE,5.16382E+17
Twitter for Android,I wonder if I run for PRESIDENT will the haters and losers vote for me knowing that I will MAKE AMERICA GREAT AGAIN? I say they will!,9/26/2014 22:52,8031,7021,FALSE,5.15635E+17
Twitter for Android,What separates the winners from the losers is how a person reacts to each new twist of fate.,9/20/2014 9:03,615,515,FALSE,5.13252E+17
Twitter for Android,I have nothing to do with Atlantic City-sold years ago (great timing). For losers and haters I NEVER went bankrupt. Plus $10 billion sorry,9/13/2014 23:54,290,473,FALSE,5.1094E+17
Twitter Web Client,Congratulations to @rushlimbaugh on his recent 26th year anniversary. Rush has revolutionized talk radio! Sorry haters and losers!,8/5/2014 19:04,152,238,FALSE,4.96733E+17
Twitter for Android,.@FrankLuntz works really hard but is a guy who just doesn't have it - a total loser!,8/4/2014 2:22,71,73,FALSE,4.96119E+17
Twitter for Android,@seankesser: @Ross_7_7 @4politics2 @lonepatrick Trump is a winner. EVERYONE knows that.Some LOSERS don't acknowledge it yet follow him,7/24/2014 3:06,16,36,FALSE,4.92144E+17
Twitter for Android,Again for all of the haters and losers I have NOTHING to do with Atlantic City - got out a long time ago!,7/14/2014 13:04,135,199,FALSE,4.8867E+17
Twitter for Android,"@FSMalang: Show me a man without an ego and I'll show you a loser"" - Donald Trump""",7/8/2014 5:32,217,206,FALSE,4.86382E+17
Twitter for Android,Happy 4th of July to everyone  including the haters and losers!,7/4/2014 4:57,6244,5729,FALSE,4.84924E+17
Twitter Web Client,“Failures are expected by losers ignored by winners.”  -- @CoachJoeGibbs,6/26/2014 14:13,226,193,FALSE,4.82165E+17
Twitter Web Client,The dying @NYDailyNews asked me to do an Editorial on the Central Park 5 ripoff  &amp; then they pretend it was my idea. Loser newspaper!,6/23/2014 17:16,65,74,FALSE,4.81124E+17
